0 0.2 award team made honor honored medal proud presented recognition city great series highest received named bloomfield earned ceremony top 
1 0.2 idaho crapo risch mike falls thursday jim boise due twin end november removing idahoans staff expressed dc stop jacob 
2 0.2 missile united defense states president strategic systems force limits delivery chilton deployed ballistic defenses regime make reductions important armed 
3 0.2 families family make month november michael additional grateful dedication including set resolution personal proven closely demands strength challenges injury 
4 0.2 congress federal reserve money treasury decision geithner decisions dollar bernanke chairman dollars open worse currency confidence transparency elected policies 
5 0.2 china commitment urge offer allowing progress vice policies senators efforts demonstrate green jcct premier level organization interest talks beef 
6 0.2 association america national fund trust groups federal bonds highway state infrastructure increased federation cents union voinovich nation current works 
7 0.2 nation american america world today opportunity unique liberty generation greatest independence recognize personal fathers prosperity words principles send reasons 
8 0.2 financial bill street freddie fannie wall reform big taxpayers taxpayer crisis fail costs real protect government money market main 
9 0.2 make common sense important today making makes working day real share times part country face worked place return find 
10 0.2 west virginia manchin joe virginians rockefeller background seek japan state jay kofinis committed strong political voice charleston sworn japanese 
11 0.2 mikulski maryland senator chairwoman resources barbara cjs cardin md fbi western baltimore keeping train fight benjamin bredar filed local 
12 0.2 senator snowe maine specifically drug million counternarcotics closer efforts helicopters international july olympia required narcotics dea model heroin illicit 
13 0.2 clear impact hand simply days agree responsible result group forced finally reason consideration large hope mind support move shows 
14 0.2 arkansas lincoln pryor today eldridge blanche pleased mr washington mark senators proud conner western nordex summit thyer ar eastern 
15 0.2 department secretary security homeland important dhs earlier officials response recent enforcement napolitano leadership click yesterday related administrative remove policies 
16 0.2 navy ships lcs ship combat strategy ddg marine marinette additional contract acquisition services littoral shipbuilding alabama ten secretary austal 
17 0.2 national park secretary decision leases department interior david blm majority hayes official leader response review parks service sites statement 
18 0.2 ve big don ll made told stop good start put thing past show ways part couple half making decided 
19 0.2 court supreme justice case cases judge constitution decisions circuit decision power constitutional questions hearing judiciary judicial courts precedent ruling 
20 0.2 border secure southern line washington arizona daily patrol night agent protect putting terry compassionate agents greatness congratulate andrews al 
21 0.2 jim life baseball furman hall kentucky league career sports dedicated major musial fame impressive game games cincinnati player put 
22 0.2 national senator gillibrand foster east day goals raise today foundation leaders september resources summit improve promote month effort praised 
23 0.2 military women service men members forces nation armed support war soldiers troops national brave uniform combat duty afghanistan iraq 
24 0.2 st collins lt robert iraq man post louis building member leader wilson graduated security successful earl jr young iraqi 
25 0.2 vehicles vehicle drivers commercial road driving phone motor rule drive proposed safety driver traffic held trucks sunday cell company 
26 0.2 nation support leadership strong critical bipartisan ensure continued continue colleagues country today continues chairman lead essential efforts effective broad 
27 0.2 market markets regulatory committee chairman trading regulators major problems back stability economy finance reforms wealth banking scrutiny continue instability 
28 0.2 bureau privacy consumers security tsa lives government screening protecting financial body personal citizens administration protection airport consumer power choice 
29 0.2 research national science innovation america education foundation institutions opportunities engineering technology supporting noaa global universities reauthorization patent commerce programs 
30 0.2 general services report issue congress force secretary committee implement including staff professional fully potential careful statement strongly counsel effectiveness 
31 0.2 children kids nutrition school programs child healthy meals free hunger fitness physical day young health childhood nutritious national lunch 
32 0.2 law act signed requires requirements passed subject requiring ensure require practice ensures authored comply implementation investigation required filed highest 
33 0.2 office congressional service members state delegation making completed announced offices supporting apply based applicants applications contact interested accepted executive 
34 0.2 ethanol fuel gasoline foreign vehicles oil tariff higher renewable imported senators gallon credit reduce dependence subsidy blend current reducing 
35 0.2 american people americans back dollars time days bring stand bad beginning supported rest unacceptable present history shows owe weeks 
36 0.2 russia russian interests challenges relationship georgia political administration global power longer matters values activities cooperation bush delivered reset medvedev 
37 0.2 management performance agencies results progress agency key strategic efforts improving effective subcommittee planning identify reports oversight goals implementation carper 
38 0.2 north senator conrad dakota kent minot budget noted bypass earl nation dakotans pomeroy red meetings congressman represented movement fargo 
39 0.2 foreign assets criminals law enforcement criminal forfeiture ill freeze tool international legislation preserving proceedings prior make proceeds final subject 
40 0.2 john kerry rep senators congressman sen arredondo promises hoh boston relief sponsor era tribe secure ferschke lcpl plain sgt 
41 0.2 don policy repeal military law end repealing serving armed serve thing orientation sexual openly chiefs defense change gay discharged 
42 0.2 security cyber private national protect sector attacks terrorism act terrorist threat threats protecting terrorists information networks address public infrastructure 
43 0.2 companies company risk american created single continue bankruptcy party addition bailout lines process guaranteed industry moves home fails defeated 
44 0.2 authority chief political public nominees confirmation standard roberts justices article issue act deciding decide answer effect left ideological opinion 
